"","id","passer_x","passer_y","receiver_x","receiver_y","to_receiver_x","to_receiver_y","ball_start_x","ball_start_y","ball_start_z","ball_end_x","ball_end_y","ball_end_z","to_receiver","assist_opp","pass_type","frame","game_clock","oteam","dteam","passer","receiver","start_clock","complete","is_to","end_clock","led_to_shot","inbounds","backcourt","reversal","secondary_assist","season","game_code","period","chance_id","possession_id","pbp_id"
"1","2017102117_1_45432",26.59,7.24,35.96,21.23,NA,NA,27.58,10.92,4.68,33.95,18.15,4.12,NA,0,"perimeter",312,712.400024414062,17,25,245349225423068,311420339272439,712.400024414062,1,0,712.119995117188,0,0,0,0,0,2017,2017102117,1,"2017102117_1_45120","2017102117_1_45120",NA
"2","2017102117_1_45471",31.95,29.96,34.02,36.84,NA,NA,34.31,32.29,3.44,34.7,33.62,3.74,NA,0,"handoff",351,710.840026855469,17,25,311420339272439,323133616590607,710.840026855469,1,0,710.760009765625,0,0,0,1,0,2017,2017102117,1,"2017102117_1_45120","2017102117_1_45120",NA
"3","2017102117_1_45557",35.52,31.67,16.5,37.92,NA,NA,32.88,33.9,2.74,19.95,38.02,3.67,NA,1,"perimeter",437,707.400024414062,17,25,323133616590607,721664536625359,707.400024414062,1,0,706.880004882812,1,0,0,0,0,2017,2017102117,1,"2017102117_1_45120","2017102117_1_45120",NA
"4","2017102117_1_45665",95.6,23.94,85.5,19.93,NA,NA,91.97,23.17,5.54,89.15,21.37,5.71,NA,0,"other",545,703.080017089844,25,17,608235943731620,487201425270005,703.080017089844,1,0,702.919982910156,0,1,1,0,0,2017,2017102117,1,"2017102117_1_45590","2017102117_1_45590",NA
"5","2017102117_1_45830",38.55,25.16,41.57,29.72,NA,NA,41.07,26.57,4.39,41.32,27.85,4.53,NA,0,"handoff",710,696.47998046875,25,17,487201425270005,725627757610248,696.47998046875,1,0,696.400024414062,0,0,0,0,0,2017,2017102117,1,"2017102117_1_45590","2017102117_1_45590",NA
"6","2017102117_1_45862",39.27,17.48,22.04,5.25,NA,NA,36.54,14.95,5.06,24.53,7.11,4.21,NA,0,"perimeter",742,695.200012207031,25,17,725627757610248,862504243765291,695.200012207031,1,0,694.799987792969,0,0,0,0,0,2017,2017102117,1,"2017102117_1_45590","2017102117_1_45590",NA
"7","2017102117_1_45883",24.99,6.76000000000001,29.9,6.45,NA,NA,27.35,5.94,4,28.09,6.3,3.96,NA,0,"handoff",763,694.359985351562,25,17,862504243765291,725627757610248,694.359985351562,1,0,694.280029296875,0,0,0,0,0,2017,2017102117,1,"2017102117_1_45590","2017102117_1_45590",NA
"8","2017102117_1_46110",-2.38,19.61,NA,NA,NA,NA,2.33,25.09,6.35,-5.67,32.95,0.59,NA,0,"other",990,685.280029296875,25,17,725627757610248,NA,685.280029296875,0,1,684.52001953125,0,0,0,0,0,2017,2017102117,1,"2017102117_1_45590","2017102117_1_45590",NA
"9","2017102117_1_46296",95.04,13.14,69.66,16.88,NA,NA,92.05,14.53,5.66,73.3,15.91,3.14,NA,0,"other",1176,684.47998046875,17,25,311420339272439,245349225423068,684.47998046875,1,0,684.47998046875,0,1,1,0,0,2017,2017102117,1,"2017102117_1_46130","2017102117_1_46130",NA
"10","2017102117_1_46402",33.26,8.05,41.78,24.18,NA,NA,35.31,11.21,5.06,39.22,21.38,5.94,NA,0,"attacking",1282,681.559997558594,17,25,245349225423068,311420339272439,681.559997558594,1,0,681.159973144531,0,0,0,0,0,2017,2017102117,1,"2017102117_1_46130","2017102117_1_46130",NA
